seed,recommendation
1440941,1549516
1440941,2135209
1440941,589812
1797473,6393495
1797473,5791729
1797473,6362519
1275832,5234054
1275832,2247913
1275832,2142715
1437096,5703820
1437096,5931741
1437096,7137058
1700878,5213654
1700878,1729021
1700878,1729021
1700879,1814806
1700879,7214283
1700879,5976096
1911964,6254154
1911964,6738969
1911964,2104648
2245669,7051814
2245669,2139432
2245669,5245335
2162863,6504954
2162863,7337391
2162863,6656241
1700852,2091015
1700852,2164241
1700852,7390638
1868164,7506049
1868164,7371784
1868164,7274822
1960713,6290391
1960713,6434544
1960713,6294220
1868091,5778464
1868091,7051082
1868091,6059298
1517706,1928385
1804031,1646168
1512023,6862153
1512023,7032814
1512023,6620064
1441794,2121455
1441794,7444425
1441794,7500254
1445474,7254293
1445475,7254293
1445475,6216390
1445475,7413139
1911926,6391232
1911926,5548153
1911926,7514706
1922558,1682135
1922558,7432461
1922558,6870388
1969249,7049352
1969249,7069473
1969249,7480678
2074661,7293369
2074661,6551220
2074661,7110603
2104648,1948233
2104648,6284963
2104648,6194499
2157915,7190877
2157915,6604897
2157915,6334874
1238007,1257002
1238007,1321858
1238007,6851301
5051984,6151727
5257017,6898509
5257017,6673998
1681071,1681068
1681071,5121934
2105416,125899
2105416,1846835